0.00.346.112 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.486.985 W srv  llama_server: -----------------
0.00.486.987 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.486.987 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.486.987 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.486.987 W srv  llama_server: -----------------
0.00.488.413 I srv    load_model: loading model 'esatapedico/Qwen3.8-27B-NVFP4-MTP-GGUF:HIGH'
0.02.810.048 I common_speculative_init_result: creating MTP draft context against the target model '/home/wes/.cache/huggingface/hub/models--esatapedico--Qwen3.8-27B-NVFP4-MTP-GGUF/snapshots/d5c5cada4f916312e0dab46109301dcbfdda93a1/Qwen3.8-27B-NVFP4-MTP-HIGH.gguf'
0.02.913.409 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 262144, kv_unified = 'true'
0.02.991.207 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.991.234 I srv  llama_server: model loaded
0.02.991.237 I srv  llama_server: listening on http://0.0.0.0:8090
0.04.506.346 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.04.506.397 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.07.766.170 I slot print_timing: id  0 | task 1 | n_decoded =    348, tg = 115.64 t/s, tg_3s = 115.63 t/s
0.09.274.917 I slot print_timing: id  0 | task 1 | prompt eval time =     249.39 ms /   255 tokens (    0.98 ms per token,  1022.49 tokens per second)
0.09.274.918 I slot print_timing: id  0 | task 1 |        eval time =    4518.13 ms /   586 tokens (    7.71 ms per token,   129.70 tokens per second)
0.09.274.919 I slot print_timing: id  0 | task 1 |       total time =    4767.52 ms /   841 tokens
0.09.274.921 I slot print_timing: id  0 | task 1 |    graphs reused =        190
0.09.274.924 I slot print_timing: id  0 | task 1 | draft acceptance = 0.51172 (  393 accepted /   768 generated), mean len =  3.05
0.09.274.984 I slot      release: id  0 | task 1 | stop processing: n_tokens = 840, truncated = 0
0.09.316.171 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.09.316.230 I slot launch_slot_: id  0 | task 199 | processing task, is_child = 0
0.12.517.822 I slot print_timing: id  0 | task 199 | n_decoded =    351, tg = 116.53 t/s, tg_3s = 116.52 t/s
0.14.003.607 I slot print_timing: id  0 | task 199 | prompt eval time =     188.61 ms /   255 tokens (    0.74 ms per token,  1352.00 tokens per second)
0.14.003.608 I slot print_timing: id  0 | task 199 |        eval time =    4498.03 ms /   586 tokens (    7.68 ms per token,   130.28 tokens per second)
0.14.003.609 I slot print_timing: id  0 | task 199 |       total time =    4686.64 ms /   841 tokens
0.14.003.609 I slot print_timing: id  0 | task 199 |    graphs reused =        379
0.14.003.611 I slot print_timing: id  0 | task 199 | draft acceptance = 0.51172 (  393 accepted /   768 generated), mean len =  3.05
0.14.003.633 I slot      release: id  0 | task 199 | stop processing: n_tokens = 840, truncated = 0
0.14.029.279 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.14.029.331 I slot launch_slot_: id  0 | task 397 | processing task, is_child = 0
0.17.233.264 I slot print_timing: id  0 | task 397 | n_decoded =    351, tg = 116.37 t/s, tg_3s = 116.37 t/s
0.18.719.285 I slot print_timing: id  0 | task 397 | prompt eval time =     186.71 ms /   255 tokens (    0.73 ms per token,  1365.73 tokens per second)
0.18.719.287 I slot print_timing: id  0 | task 397 |        eval time =    4502.20 ms /   586 tokens (    7.68 ms per token,   130.16 tokens per second)
0.18.719.287 I slot print_timing: id  0 | task 397 |       total time =    4688.91 ms /   841 tokens
0.18.719.287 I slot print_timing: id  0 | task 397 |    graphs reused =        568
0.18.719.290 I slot print_timing: id  0 | task 397 | draft acceptance = 0.51172 (  393 accepted /   768 generated), mean len =  3.05
0.18.719.310 I slot      release: id  0 | task 397 | stop processing: n_tokens = 840, truncated = 0
0.18.760.878 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.18.760.959 I slot launch_slot_: id  0 | task 595 | processing task, is_child = 0
0.21.966.704 I slot print_timing: id  0 | task 595 | n_decoded =    351, tg = 116.46 t/s, tg_3s = 116.45 t/s
0.23.453.761 I slot print_timing: id  0 | task 595 | prompt eval time =     191.07 ms /   255 tokens (    0.75 ms per token,  1334.57 tokens per second)
0.23.453.763 I slot print_timing: id  0 | task 595 |        eval time =    4500.96 ms /   586 tokens (    7.68 ms per token,   130.19 tokens per second)
0.23.453.763 I slot print_timing: id  0 | task 595 |       total time =    4692.04 ms /   841 tokens
0.23.453.764 I slot print_timing: id  0 | task 595 |    graphs reused =        757
0.23.453.766 I slot print_timing: id  0 | task 595 | draft acceptance = 0.51172 (  393 accepted /   768 generated), mean len =  3.05
0.23.453.788 I slot      release: id  0 | task 595 | stop processing: n_tokens = 840, truncated = 0
0.23.502.753 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.23.502.975 I slot launch_slot_: id  0 | task 793 | processing task, is_child = 0
0.26.118.980 I slot print_timing: id  0 | task 793 | prompt eval time =    2171.79 ms / 11134 tokens (    0.20 ms per token,  5126.65 tokens per second)
0.26.118.982 I slot print_timing: id  0 | task 793 |        eval time =     443.41 ms /    69 tokens (    6.43 ms per token,   155.61 tokens per second)
0.26.118.983 I slot print_timing: id  0 | task 793 |       total time =    2615.20 ms / 11203 tokens
0.26.118.983 I slot print_timing: id  0 | task 793 |    graphs reused =        773
0.26.118.985 I slot print_timing: id  0 | task 793 | draft acceptance = 0.77941 (   53 accepted /    68 generated), mean len =  4.12
0.26.119.293 I slot      release: id  0 | task 793 | stop processing: n_tokens = 11204, truncated = 0
0.26.191.074 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.26.191.303 I slot launch_slot_: id  0 | task 822 | processing task, is_child = 0
0.28.791.266 I slot print_timing: id  0 | task 822 | prompt eval time =    2162.69 ms / 11134 tokens (    0.19 ms per token,  5148.23 tokens per second)
0.28.791.269 I slot print_timing: id  0 | task 822 |        eval time =     436.45 ms /    69 tokens (    6.33 ms per token,   158.09 tokens per second)
0.28.791.269 I slot print_timing: id  0 | task 822 |       total time =    2599.14 ms / 11203 tokens
0.28.791.270 I slot print_timing: id  0 | task 822 |    graphs reused =        789
0.28.791.273 I slot print_timing: id  0 | task 822 | draft acceptance = 0.77941 (   53 accepted /    68 generated), mean len =  4.12
0.28.791.581 I slot      release: id  0 | task 822 | stop processing: n_tokens = 11204, truncated = 0
0.28.844.453 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.28.844.703 I slot launch_slot_: id  0 | task 851 | processing task, is_child = 0
0.31.448.897 I slot print_timing: id  0 | task 851 | prompt eval time =    2167.26 ms / 11134 tokens (    0.19 ms per token,  5137.37 tokens per second)
0.31.448.899 I slot print_timing: id  0 | task 851 |        eval time =     436.00 ms /    69 tokens (    6.32 ms per token,   158.26 tokens per second)
0.31.448.900 I slot print_timing: id  0 | task 851 |       total time =    2603.25 ms / 11203 tokens
0.31.448.901 I slot print_timing: id  0 | task 851 |    graphs reused =        805
0.31.448.903 I slot print_timing: id  0 | task 851 | draft acceptance = 0.77941 (   53 accepted /    68 generated), mean len =  4.12
0.31.449.211 I slot      release: id  0 | task 851 | stop processing: n_tokens = 11204, truncated = 0
0.31.515.478 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.31.515.685 I slot launch_slot_: id  0 | task 880 | processing task, is_child = 0
0.34.122.080 I slot print_timing: id  0 | task 880 | prompt eval time =    2169.08 ms / 11134 tokens (    0.19 ms per token,  5133.06 tokens per second)
0.34.122.083 I slot print_timing: id  0 | task 880 |        eval time =     436.51 ms /    69 tokens (    6.33 ms per token,   158.07 tokens per second)
0.34.122.083 I slot print_timing: id  0 | task 880 |       total time =    2605.59 ms / 11203 tokens
0.34.122.084 I slot print_timing: id  0 | task 880 |    graphs reused =        821
0.34.122.086 I slot print_timing: id  0 | task 880 | draft acceptance = 0.77941 (   53 accepted /    68 generated), mean len =  4.12
0.34.122.409 I slot      release: id  0 | task 880 | stop processing: n_tokens = 11204, truncated = 0
0.34.148.693 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.34.148.780 I slot launch_slot_: id  0 | task 909 | processing task, is_child = 0
0.35.709.851 I slot print_timing: id  0 | task 909 | prompt eval time =     238.48 ms /   640 tokens (    0.37 ms per token,  2683.64 tokens per second)
0.35.709.853 I slot print_timing: id  0 | task 909 |        eval time =    1321.42 ms /   174 tokens (    7.59 ms per token,   131.68 tokens per second)
0.35.709.854 I slot print_timing: id  0 | task 909 |       total time =    1559.90 ms /   814 tokens
0.35.709.854 I slot print_timing: id  0 | task 909 |    graphs reused =        875
0.35.709.857 I slot print_timing: id  0 | task 909 | draft acceptance = 0.54018 (  121 accepted /   224 generated), mean len =  3.16
0.35.709.919 I slot      release: id  0 | task 909 | stop processing: n_tokens = 817, truncated = 0
0.35.760.202 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.35.760.293 I slot launch_slot_: id  0 | task 971 | processing task, is_child = 0
0.37.323.712 I slot print_timing: id  0 | task 971 | prompt eval time =     241.35 ms /   640 tokens (    0.38 ms per token,  2651.76 tokens per second)
0.37.323.714 I slot print_timing: id  0 | task 971 |        eval time =    1321.24 ms /   174 tokens (    7.59 ms per token,   131.69 tokens per second)
